Слово,Частота,Процент
садитесь,8,0.0014226698890139654
рассказывайте,3,0.000533501208380237
так,2158,0.38376520256151714
говорила,280,0.04979344611548878
июле,2,0.00035566747225349135
1805,70,0.012448361528872196
года,128,0.022762718224223447
известная,11,0.0019561710973942026
анна,258,0.045881103920700377
павловна,136,0.024185388113237408
шерер,11,0.0019561710973942026
фрейлина,3,0.000533501208380237
приближенная,1,0.00017783373612674568
императрицы,11,0.0019561710973942026
марии,9,0.001600503625140711
феодоровны,2,0.00035566747225349135
встречая,6,0.001067002416760474
важного,13,0.0023118385696476937
чиновного,1,0.00017783373612674568
князя,468,0.08322618850731696
василия,37,0.006579848236689589
первого,69,0.01227052779274545
приехавшего,4,0.0007113349445069827
ее,1831,0.3256135708480713
вечер,90,0.01600503625140711
кашляла,3,0.000533501208380237
несколько,425,0.0755793378538669
у,1426,0.2535909077167393
нее,405,0.07202266313133199
был,1834,0.32614707205645155
грипп,2,0.00035566747225349135
как,4560,0.8109218367379603
она,2906,0.5167848371843229
тогда,301,0.053527954574150445
новое,75,0.013337530209505925
слово,144,0.025608058002251376
употреблявшееся,1,0.00017783373612674568
только,1742,0.30978636833279094
редкими,6,0.001067002416760474
записочках,1,0.00017783373612674568
разосланных,1,0.00017783373612674568
утром,56,0.009958689223097757
красным,35,0.006224180764436098
лакеем,5,0.0008891686806337283
было,2679,0.4764165790835516
написано,15,0.002667506041901185
без,461,0.08198135235442976
различия,7,0.0012448361528872196
во,906,0.16111736493083156
avez,35,0.006224180764436098
rien,19,0.0033788409864081675
mieux,12,0.002134004833520948
à,297,0.05281661962964346
faire,42,0.007469016917323318
m,239,0.04250226293429221
le,356,0.06330881006112145
comte,16,0.002845339778027931
или,863,0.1534705142773815
perspective,1,0.00017783373612674568
passer,3,0.000533501208380237
soirée,3,0.000533501208380237
chez,14,0.0024896723057744393
une,129,0.022940551960350188
pauvre,32,0.005690679556055862
князь,1536,0.27315261869068136
генуя,3,0.000533501208380237
лукка,3,0.000533501208380237
фамилии,10,0.0017783373612674565
бонапарте,79,0.014048865154012906
нет,953,0.16947555052878863
вам,365,0.06490931368626217
вперед,256,0.04552543644844689
говорю,105,0.018672542293308295
мне,867,0.1541818492218885
не,9587,1.7048920282471107
скажете,6,0.001067002416760474
что,8275,1.4715741664488202
нас,208,0.0369894171143631
позволите,13,0.0023118385696476937
себе,722,0.12839595748351038
защищать,12,0.002134004833520948
все,1144,0.20344179412899702
гадости,2,0.00035566747225349135
ужасы,6,0.001067002416760474
антихриста,2,0.00035566747225349135
право,102,0.018139041084928056
верю,21,0.003734508458661659
он,8137,1.4470331108633294
антихрист,2,0.00035566747225349135
вас,425,0.0755793378538669
больше,365,0.06490931368626217
знаю,255,0.04534760271232014
уж,182,0.03236573997506771
друг,295,0.052460952157389974
говорите,51,0.009069520542464028
вижу,48,0.008536019334083792
пугаю,1,0.00017783373612674568
malade,4,0.0007113349445069827
effraye,1,0.00017783373612674568
trop,14,0.0024896723057744393
serai,6,0.001067002416760474
charmée,4,0.0007113349445069827
voir,18,0.003201007250281422
moi,55,0.009780855486971012
entre,16,0.002845339778027931
7,146,0.02596372547450487
10,154,0.027386395363518834
heures,3,0.000533501208380237
annette,17,0.003023173514154676
scherer,1,0.00017783373612674568
dieu,34,0.006046347028309352
quelle,11,0.0019561710973942026
virulente,1,0.00017783373612674568
sortie,1,0.00017783373612674568
отвечал,286,0.050860448532249254
нисколько,29,0.0051571783476756245
смутясь,1,0.00017783373612674568
такою,55,0.009780855486971012
встречей,2,0.00035566747225349135
вошедший,9,0.001600503625140711
придворном,9,0.001600503625140711
шитом,6,0.001067002416760474
мундире,45,0.008002518125703555
чулках,11,0.0019561710973942026
башмаках,9,0.001600503625140711
звездах,5,0.0008891686806337283
светлым,5,0.0008891686806337283
выражением,107,0.019028209765561785
плоского,2,0.00035566747225349135
лица,270,0.048015108754221325
говорил,733,0.13035212858090456
изысканном,1,0.00017783373612674568
французском,14,0.0024896723057744393
языке,14,0.0024896723057744393
котором,278,0.049437778643235286
говорили,271,0.04819294249034808
но,2999,0.5333233746441102
думали,31,0.005512845819929116
наши,90,0.01600503625140711
деды,1,0.00017783373612674568
теми,39,0.006935515708943081
тихими,9,0.001600503625140711
покровительственными,1,0.00017783373612674568
интонациями,3,0.000533501208380237
свойственны,1,0.00017783373612674568
состаревшемуcя,1,0.00017783373612674568
свете,97,0.01724987240429433
дворе,51,0.009069520542464028
значительному,1,0.00017783373612674568
человеку,64,0.011381359112111723
подошел,214,0.03805641953112357
анне,23,0.00409017593091515
павловне,19,0.0033788409864081675
поцеловал,57,0.010136522959224502
руку,371,0.06597631610302264
подставив,3,0.000533501208380237
ей,708,0.12590628517773592
свою,444,0.07895817884027508
надушенную,2,0.00035566747225349135
сияющую,2,0.00035566747225349135
лысину,3,0.000533501208380237
покойно,13,0.0023118385696476937
уселся,8,0.0014226698890139654
диване,31,0.005512845819929116
avant,10,0.0017783373612674565
tout,91,0.016182869987533856
comment,15,0.002667506041901185
allez,18,0.003201007250281422
chère,76,0.01351536394563267
amie,16,0.002845339778027931
успокойте,1,0.00017783373612674568
меня,680,0.12092694056618704
сказал,2225,0.3956800628820091
изменяя,14,0.0024896723057744393
голоса,132,0.023474053168730427
тоном,49,0.008713853070210536
из,2080,0.369894171143631
приличия,12,0.002134004833520948
участия,26,0.004623677139295387
просвечивало,1,0.00017783373612674568
равнодушие,3,0.000533501208380237
даже,295,0.052460952157389974
насмешка,3,0.000533501208380237
быть,849,0.15098084197160705
здоровой,2,0.00035566747225349135
когда,1225,0.21784632675526344
нравственно,19,0.0033788409864081675
страдаешь,2,0.00035566747225349135
разве,102,0.018139041084928056
имея,19,0.0033788409864081675
чувство,207,0.036811583378236354
оставаться,35,0.006224180764436098
спокойною,10,0.0017783373612674565
наше,52,0.009247354278590775
время,824,0.14653499856843843
сказала,783,0.13924381538724184
надеюсь,27,0.0048015108754221325
праздник,13,0.0023118385696476937
английского,8,0.0014226698890139654
посланника,6,0.001067002416760474
нынче,147,0.02614155921063161
середа,1,0.00017783373612674568
надо,494,0.08784986564661236
показаться,5,0.0008891686806337283
там,288,0.05121611600450275
дочь,82,0.014582366362393144
заедет,1,0.00017783373612674568
мной,74,0.013159696473379178
повезет,2,0.00035566747225349135
думала,134,0.02382972064098392
нынешний,15,0.002667506041901185
отменен,1,0.00017783373612674568
avoue,5,0.0008891686806337283
ces,24,0.004268009667041896
fêtes,1,0.00017783373612674568
feux,1,0.00017783373612674568
d,153,0.02720856162739209
artifice,1,0.00017783373612674568
commencent,1,0.00017783373612674568
devenir,5,0.0008891686806337283
insipides,1,0.00017783373612674568
ежели,511,0.09087303916076703
бы,1614,0.2870236501085675
знали,64,0.011381359112111723
хотите,65,0.011559192848238468
отменили,1,0.00017783373612674568
привычке,25,0.004445843403168641
заведенные,1,0.00017783373612674568
часы,28,0.0049793446115488785
говоря,93,0.016538537459787346
вещи,46,0.0081803518618303
которым,178,0.031654405030560724
хотел,269,0.04783727501809458
верили,10,0.0017783373612674565
tourmentez,1,0.00017783373612674568
qu,125,0.022229217015843208
a,192,0.03414407733633517
t,14,0.0024896723057744393
on,85,0.01511586757077338
décidé,3,0.000533501208380237
par,39,0.006935515708943081
rapport,4,0.0007113349445069827
dépêche,2,0.00035566747225349135
novosilzoff,1,0.00017783373612674568
savez,23,0.00409017593091515
граф,491,0.08731636443823212
виду,34,0.006046347028309352
ничего,629,0.11185742002372302
лучшего,6,0.001067002416760474
перспектива,2,0.00035566747225349135
вечера,71,0.012626195264998943
бедной,6,0.001067002416760474
больной,16,0.002845339778027931
слишком,130,0.023118385696476937
пугает,1,0.00017783373612674568
то,3898,0.6931959034220546
буду,97,0.01724987240429433
очень,618,0.10990124892632883
рада,45,0.008002518125703555
видеть,186,0.03307707491957469
себя,888,0.15791635768055015
между,410,0.07291183181196571
семью,12,0.002134004833520948
десятью,6,0.001067002416760474
часами,6,0.001067002416760474
господи,42,0.007469016917323318
какое,137,0.024363221849364156
горячее,4,0.0007113349445069827
нападение,7,0.0012448361528872196
прежде,329,0.05850729918569932
всего,277,0.04925994490710855
скажите,51,0.009069520542464028
ваше,247,0.04392493282330618
здоровье,56,0.009958689223097757
милый,112,0.019917378446195514
признаюсь,8,0.0014226698890139654
эти,475,0.08447102466020419
праздники,2,0.00035566747225349135
фейерверки,1,0.00017783373612674568
становятся,6,0.001067002416760474
несносны,1,0.00017783373612674568
мучьте,1,0.00017783373612674568
чтò,282,0.05014911358774228
же,1947,0.3462422842387738
решили,9,0.001600503625140711
случаю,28,0.0049793446115488785
депеши,6,0.001067002416760474
новосильцова,2,0.00035566747225349135
всё,1915,0.34055160468271795
знаете,134,0.02382972064098392
сказать,290,0.05157178347675624
холодным,18,0.003201007250281422
скучающим,2,0.00035566747225349135
brûlé,1,0.00017783373612674568
ses,19,0.0033788409864081675
vaisseaux,1,0.00017783373612674568
sommes,12,0.002134004833520948
en,131,0.023296219432603682
train,2,0.00035566747225349135
brûler,1,0.00017783373612674568
notres,1,0.00017783373612674568
василий,177,0.03147657129443398
всегда,435,0.07735767521513436
лениво,14,0.0024896723057744393
актер,4,0.0007113349445069827
говорит,198,0.03521107975309564
